[2025-05-03 01:29:32] BTCUSDT 1h ➜ 📉 下跌 | 信心: 56.00%
[2025-05-03 07:30:14] SOLUSDT 1h ➜ 📈 上漲 | 信心: 90.00%
[2025-05-03 07:30:17] SOLUSDT 4h ➜ 📈 上漲 | 信心: 66.00%
[2025-05-03 08:00:03] BTCUSDT 1h ➜ 📉 下跌 | 信心: 62.00%
[2025-05-03 08:00:06] BTCUSDT 4h ➜ 📈 上漲 | 信心: 64.00%
[2025-05-03 08:00:09] ETHUSDT 1h ➜ 📈 上漲 | 信心: 52.00%
[2025-05-03 08:00:12] ETHUSDT 4h ➜ 📉 下跌 | 信心: 59.00%
[2025-05-03 08:00:14] SOLUSDT 1h ➜ 📈 上漲 | 信心: 95.00%
[2025-05-03 08:00:17] SOLUSDT 4h ➜ 📈 上漲 | 信心: 75.00%
[2025-05-03 08:30:02] BTCUSDT 1h ➜ 📉 下跌 | 信心: 61.00%
[2025-05-03 08:30:05] BTCUSDT 4h ➜ 📈 上漲 | 信心: 67.00%
[2025-05-03 08:30:08] ETHUSDT 1h ➜ 📈 上漲 | 信心: 57.00%
[2025-05-03 08:30:11] ETHUSDT 4h ➜ 📈 上漲 | 信心: 51.00%
[2025-05-03 08:30:14] SOLUSDT 1h ➜ 📈 上漲 | 信心: 96.00%
[2025-05-03 08:30:17] SOLUSDT 4h ➜ 📈 上漲 | 信心: 78.00%
[2025-05-03 09:00:03] BTCUSDT 1h ➜ 📉 下跌 | 信心: 55.00%
[2025-05-03 09:00:06] BTCUSDT 4h ➜ 📈 上漲 | 信心: 62.00%
[2025-05-03 09:00:54] ETHUSDT 1h ➜ 📈 上漲 | 信心: 58.00%
[2025-05-03 09:00:56] ETHUSDT 4h ➜ 📉 下跌 | 信心: 54.00%
[2025-05-03 09:00:59] SOLUSDT 1h ➜ 📈 上漲 | 信心: 90.00%
[2025-05-03 09:01:02] SOLUSDT 4h ➜ 📈 上漲 | 信心: 75.00%
[2025-05-03 09:30:02] BTCUSDT 1h ➜ 📉 下跌 | 信心: 55.00%
[2025-05-03 09:30:06] BTCUSDT 4h ➜ 📈 上漲 | 信心: 62.00%
[2025-05-03 09:30:09] ETHUSDT 1h ➜ 📈 上漲 | 信心: 66.00%
[2025-05-03 09:30:11] ETHUSDT 4h ➜ 📉 下跌 | 信心: 61.00%
[2025-05-03 09:30:15] SOLUSDT 1h ➜ 📈 上漲 | 信心: 95.00%
[2025-05-03 09:30:18] SOLUSDT 4h ➜ 📈 上漲 | 信心: 69.00%
[2025-05-03 10:00:09] BTCUSDT 1h ➜ 📈 上漲 | 信心: 62.00%
[2025-05-03 10:00:12] BTCUSDT 4h ➜ 📈 上漲 | 信心: 64.00%
[2025-05-03 10:00:15] ETHUSDT 1h ➜ 📉 下跌 | 信心: 61.00%
[2025-05-03 10:00:18] ETHUSDT 4h ➜ 📉 下跌 | 信心: 59.00%
[2025-05-03 10:00:21] SOLUSDT 1h ➜ 📈 上漲 | 信心: 95.00%
[2025-05-03 10:00:24] SOLUSDT 4h ➜ 📈 上漲 | 信心: 78.00%
[2025-05-03 10:30:02] BTCUSDT 1h ➜ 📈 上漲 | 信心: 51.00%
[2025-05-03 10:30:05] BTCUSDT 4h ➜ 📈 上漲 | 信心: 61.00%
[2025-05-03 10:30:08] ETHUSDT 1h ➜ 📉 下跌 | 信心: 51.00%
[2025-05-03 10:30:11] ETHUSDT 4h ➜ 📉 下跌 | 信心: 61.00%
[2025-05-03 10:30:14] SOLUSDT 1h ➜ 📈 上漲 | 信心: 90.00%
[2025-05-03 10:30:17] SOLUSDT 4h ➜ 📈 上漲 | 信心: 72.00%
[2025-05-03 11:00:03] BTCUSDT 1h ➜ 📉 下跌 | 信心: 57.00%
[2025-05-03 11:00:06] BTCUSDT 4h ➜ 📈 上漲 | 信心: 62.00%
[2025-05-03 11:00:08] ETHUSDT 1h ➜ 📈 上漲 | 信心: 56.00%
[2025-05-03 11:00:11] ETHUSDT 4h ➜ 📉 下跌 | 信心: 63.00%
[2025-05-03 11:00:14] SOLUSDT 1h ➜ 📈 上漲 | 信心: 92.00%
[2025-05-03 11:00:17] SOLUSDT 4h ➜ 📈 上漲 | 信心: 72.00%
[2025-05-03 11:30:05] BTCUSDT 1h ➜ 📉 下跌 | 信心: 54.00%
[2025-05-03 11:30:08] BTCUSDT 4h ➜ 📈 上漲 | 信心: 60.00%
[2025-05-03 11:30:12] ETHUSDT 1h ➜ 📈 上漲 | 信心: 58.00%
[2025-05-03 11:30:14] ETHUSDT 4h ➜ 📉 下跌 | 信心: 63.00%
[2025-05-03 11:30:18] SOLUSDT 1h ➜ 📈 上漲 | 信心: 93.00%
[2025-05-03 11:30:20] SOLUSDT 4h ➜ 📈 上漲 | 信心: 74.00%
